022$a	245$a	260$b
2368-4526 (electronic)	Collected essays on learning and teaching	"Society for Teaching and Learning in Higher Education (STLHE),"
2381-5612 (electronic)	"Common lives, lesbian lives"	"Common Lives / Lesbian Lives,"
2470-6183 (electronic)	The Conspiracy	"Bay Area Regional Office, National Lawyers Guild,"
2059-1594 (electronic)	Continuing cardiology education	"Wiley Online Library,"
1768-3076 (electronic)	Courrier international	"Courrier international SA,"
2327-3607 (electronic)	Critical questions in education	"Academy for Educational Studies, Missouri State University,"
2055-4877 (electronic)	The depositional record	"Wiley,"
2013-9144 (electronic)	Digital education review	L'Observatori d'Educaci{acute}o Digital (OED) ;;Grup de Recerca Ensenyament i Aprenentatge Virtual (GREAV) de la Universitat de Barcelona
2333-5084 (electronic)	Earth and space science	"John Wiley & Sons,"
2150-8925 (electronic)	Ecosphere	Ecological Society of America
1082-4928 (electronic)	Electronic journal of theoretical chemistry	"Wiley,"
2050-0505 (electronic)	Energy science & engineering	"John Wiley & Sons Ltd.,"
2399-8091 (electronic)	Environment and planning.	"Sage Publications,"
2272-2394 (electronic)	EPJ applied metamaterials	"EDP Sciences,"
2055-5822 (electronic)	ESC Heart Failure	"John Wiley & Sons Ltd on behalf of the European Society of Cardiology,"
1777-5477 (electronic)	EspacesTemps.net	EspacesTemps.net
2330-8516 (electronic)	ETS research report series	Educational Testing Service;John Wiley & Sons
1695-2618 (electronic)	The EUROCALL review	"EUROCALL, School of Modern Languages, University of Ulster,"
2054-703X (electronic)	Evidence-based preclinical medicine	"John Wiley & Sons, Inc.,"
2048-3694 (electronic)	Food and energy security	Wiley & Sons and the Association of Applied Biologists
2469-4061 (electronic)	The furies	"Furies Collective,"
2054-4049 (electronic)	Geo	"John Wiley & Sons, Ltd. ;;Royal Geographical Society, with the Institute of British Geographers,"
2471-1403 (electronic)	Geohealth	"Wiley Periodicals, Inc.,"
2049-6060 (electronic)	Geoscience Data Journal	"John Wiley & Sons and Royal Meteorological Society,"
2196-4092 (electronic)	Geoscience letters	Springer
2471-397X (electronic)	Gervois	Pierre Gervois
2248-8391 (electronic)	Gist	"{acute}UNICA, Institucion Universitaria Colombo Americana,"
2375-2920 (electronic)	Inside the cell	Wiley
2155-9635 (electronic)	The international journal of educational leadership preparation	National Council of Professors of Educational Administration
1927-6052 (electronic)	International journal of higher education	Sciedu Press.
1812-9129 (electronic)	International journal on teaching and learning in higher education	International Society for Exploring Teaching Alternatives
1984-3046 (electronic)	Journal of operations & supply chain management	"Escola de Administra{cedil}c{tilde}ao de Empresas de S{tilde}ao Paulo of the Fundacao Getulio Vargas,"
1935-7850 (electronic)	The journal of effective teaching	"Journal of Effective Teaching,"
2201-5655 (electronic)	Journal of fitness research	Australian Institute of Fitness
1941-3394 (electronic)	Journal of instructional pedagogies	"Academic and Business Research Institute,"
2058-3273 (electronic)	Journal of Interdisciplinary nanomedicine	
1559-9035 (electronic)	Journal of language & literacy education	"University of Georgia. Department of Language and Literacy Education,"
1832-8342 (electronic)	Journal of learning design	Queensland University of Technology
2347-436X (electronic)	Journal of orthopaedics and allied sciences	Medknow Publications and Media
1449-9789 (electronic)	Journal of university teaching and learning practice	University of Wollongong
2470-6485 (electronic)	Kauri	W. Inman
2378-8038 (electronic)	Laryngoscope investigative otolaryngology	"Wiley,"
2379-6146 (electronic)	Learning health systems	"Wiley, published in collaboration with the University of Michigan,"
2164-0254 (electronic)	Limnology and oceanography e-lectures	American Society of Limnology and Oceanography
2157-3689 (electronic)	"Limnology and oceanography, fluids and environments"	"Duke University Press,"
2378-2242 (electronic)	Limnology and oceanography letters	"John Wiley & Sons, Inc.,"
0024-6573 (electronic)	Los Angeles free press	"Los Angeles Free Press,"
2147-673X (electronic)	Mediterranean Journal of Infection Microbes and Antimicrobials	"Galenos Publishing House,"
1878-0261 (electronic)	Molecular oncology	Elsevier Science
1550-8528 (electronic)	Obesity research	"North American Association for the Study of Obesity,"
2055-2238 (electronic)	Obesity science & practice	"John Wiley & Sons Inc.,"
2326-4624 (electronic)	Population Council book series	"John Wiley & Sons,"
2056-3485 (electronic)	Remote sensing in ecology and conservation	"John Wiley & Sons Ltd. on behalf of Zoological Society of London,"
1941-3432 (electronic)	Research in higher education journal	Academic and Business Research Institute
1446-6120 (electronic)	The science education review	"P.H. & J.S. Eastwell,"
2344-6900 (electronic)	Legal and Administrative Studies = Studii Juridice si Administrative	"University of Pite{commab}sti,;C.H. Beck ;;University of Pite{commab}sti"
2168-0175 (electronic)	Transactions of the I.R.E. Professional Group on Aeronautical and Navigational Electronics	Institute of Radio Engineers
2052-4986 (electronic)	Transactions of the London Mathematical Society	"Published on behalf of London Mathematical Society, Oxford University Press,"
2053-1095 (electronic)	Veterinary medicine and science	"John Wiley & Sons Ltd.,"
2049-9280 (electronic)	World of work report	"International Labour Organisation, International Institute for Labour Studies,"
1687-7640 (electronic)	X-ray optics and instrumentation	Hindawi Publ.
2451-9456 (electronic)	Cell chemical biology	"Cell Press,"
2514-9334 (electronic)	Collection and curation.	
2514-9318 (electronic)	Data technologies and applications.	
2514-9350 (electronic);2514-9342 (print)	"Global knowledge, memory and communication."	
2573-2323	IPPR Progressive Review [brief]	
2513-0390	Advanced theory and simulations [brief]	
2366-3987	Advanced Therapeutics [brief]	
2566-6223	Batteries journal [brief]	
2573-7619	Polymer Crystallization [brief]	
2367-198X	Solar RRL [brief]	
2471-5638	Journal of Experimental Zoology Part A: Ecological and Integrative Physiology [brief]	
2471-4607 (electronic)	Journal of labor and society	"Wiley Periodicals, Inc.,"
2475-1987	Justice Evaluation Journal [brief]	
2472-2103 (electronic)	Today's veterinary technician	"Eastern States Veterinary Association, Inc., dba NAVC"
2573-2323	IPPR Progressive Review [brief]	
0007-6678 (print	Business education forum /	"The Association,"
0011-8052 (print(	Delta Pi Epsilon journal.	Delta Pi Epsilon.
2153-8263 (electronic)	The acorn	Philosophy Documentation Center
1825-6562 (electronic)	Acta philosophica	Ateneo Romano della Santa Croce
1969-6728 (electronic)	Actuel Marx	"Editions L'Harmattan,"
2035-8466 (electronic)	Aisthesis	Firenze University Press
0718-7181 (electronic)	Aisthesis	"Pontificia Universidad Cat{acute}olica de Chile, Facultad de Filosof{acute}ia y Ciencias de la Educaci{acute}on"
2153-8441 (electronic)	American Catholic philosophical quarterly	Philosophy Documentation Center
1918-7351 (electronic)	Analecta hermeneutica	"Memorial University of Newfoundland,"
1851-9636 (electronic)	An{acute}alisis filos{acute}ofico	SADAF
2222-5331 (electronic)	Analytica	"[publisher not identified],"
1469-2899 (electronic)	Angelaki	Routledge
2156-7093 (electronic)	Apeiron	"Department of Classical Studies, Monash University,;Academic Printing & Publishing;[Walter de Gruyter, Inc.]"
1984-249X (electronic)	Archai	"C{acute}atedra Unesco Archai,"
1573-6121 (electronic)	Archiv f{uml}ur Religionspsychologie	Brill
1566-5399 (electronic)	Ars disputandi	"Utrecht University,"
1916-9663 (electronic)	Asian culture and history	Canadian Center of Science and Education
2153-7917 (electronic)	Augustinian studies	Villanova University Press;Philosophy Documentation Center
2162-6499 (electronic)	Augustinianum	Philosophy Documentation Center
2376-6727 (electronic)	Auslegung	"Graduate Association of Students in Philosophy at the University of Kansas,"
1448-5052 (electronic)	The Australasian journal of logic	"Philosophy Dept., University of Melbourne,"
2082-6710 (electronic)	Avant	"Instytut Filozofii, Wydzial Humanistyczny Uniwersytetu Mikolaja Kopernika,;O{acute}srodek Bada{acute}n Filozoficznych"
2176-4573 (electronic)	Bakhtiniana	"Pontif{acute}icia Universidade Cat{acute}olica de S{tilde}ao Paulo,"
2078-1458 (electronic)	Bangladesh journal of bioethics	Bangladesh Bioethics Society
2376-7200 (electronic)	Bioethics quarterly	"Human Sciences Press,"
1875-1350 (electronic)	Biosemiotics	Springer
2475-5354 (electronic)	Blue screw	[The GI Movement at Lowrey]
1946-4304 (electronic)	Bowling Green studies in applied philosophy	Philosophy Documentation Center
2153-9863 (electronic)	Bradley studies	Philosophy Documentation Center
2153-9545 (electronic)	Bulletin de la Soci{acute}et{acute}e am{acute}ericaine de philosophie de langue fran{cedil}caise	Philosophy Documentation Center
2153-7046 (electronic)	Overheard in Seville	Philosophy Documentation Center
2153-7828 (electronic)	Business & professional ethics journal	"Human Dimensions Center, Rensselaer Polytechnic Institute,;Philosophy Documentation Center"
2155-2398 (electronic)	Business ethics	Philosophy Documenation Center
1868-9027 (electronic)	Byzantinische Zeitschrift	De Gruyter
2178-5880 (electronic)	Cadernos do PET filosofia	Editora da Universidade Federal do Piau{acute}i
1646-7698 (electronic)	Carnets	Associa{cedil}c{tilde}ao Portuguesa de Estudos Franceses
1930-1294 (electronic)	The Chesterton review	"G.K. Chesterton Society, 1974-;G.K. Chesterton Institute for Faith & Culture;G.K. Chesterton Institute for Faith & Culture"
2162-8556 (electronic)	The Chesterton review em Portugu{circ}es	Philosophy Documentation Center
2162-8521 (electronic)	The Chesterton review en Espa{tilde}nol	Philosophy Documentation Center
2162-8599 (electronic)	Chesterton review en Fran{cedil}cais	Philosophy Documentation Center
2162-3589 (electronic)	The Chesterton review in Italiano	Philosophy Documentation Center
2155-6415 (electronic)	Chiasmi international	Philosophy Documentation Center
1874-8988 (electronic)	Child indicators research	"Springer,"
2162-6529 (electronic)	Ch{circ}ora	Philosophy Documentation Center
1647-8991 (electronic)	Cinema	"IFL, FCSH-UNL,"
0717-554X (electronic)	Cinta de moebio	"Universidad de Chile, Facultad de Ciencias Sociales,"
2316-5278 (electronic)	Cognitio	"Centro de Estudos do Pragmatismo :;Educ :;Palas Athena,"
1613-3641 (electronic)	Cognitive linguistics	Mouton de Gruyter;Walter de Gruyter;De Gruyter Mouton
1757-0646 (electronic)	Comparative and continental philosophy	"Maney Publishing,"
2151-6014 (electronic)	Comparative philosophy	"Center for Comparative Philosophy & University Library, San Jose State University"
2252-5459 (electronic)	Computer engineering and applications journal	"Faculty of Computer Science, Universitas Sriwijaya :;Institute of Advanced Engineering and Science,"
1128-9082 (electronic)	Comunicazione filosofica	Societ{grave}a filosofica italiana
2410-9681 (electronic)	Contemporary Chinese political economy and strategic relations	"Institue of China and Asia-Pacific Studies, National Sun Yat-sen University"
1558-0997 (electronic)	Contemporary Chinese thought	M.E. Sharpe
2159-9920 (electronic)	Continent	"Paul Boshears,"
1743-8772 (electronic)	Critical review of international social and political philosophy	"Frank Cass,"
1848-9931 (electronic)	Croatian Operational Research Review	"Croatian Operational Research Society,"
2362-485X (electronic)	Cuadernos de filosof{acute}ia	"Instituto de Filosof{acute}ia, FILO, UBA"
2065-5002 (electronic)	Cultura	"""Al. I. Cuza"" University of Iassy, Facultaty of Philosophy"
1870-557X (electronic)	Daena	Spenta University Mexico
2192-1482 (electronic)	Deutsche Zeitschrift f{uml}ur Philosophie	Akademie Verlag;De Gruyter
1733-5566 (electronic)	Diametros	"Institute of Philosophy of the Jagiellonian Univerity,"
1989-7022 (electronic)	Dilemata	"Txetxu Aus{acute}in, director,"
2328-532X (electronic)	Duquesne studies in phenomenological psychology	"Duquesne University Press,"
1813-7784 (electronic)	E-Journal philosophie der psychologie	Forschungsinitiative Philosophie der Psychologie
1645-958X (electronic)	E-topia	"Faculdade de Letras, Universidade do Porto"
1559-1786 (electronic)	Education and culture	Purdue University Press
1071-5800 (electronic)	The electronic journal of analytic philosophy	"Analytic Philosophy Project,"
1239-2685 (electronic)	Electronic journal of business ethics and organization studies	"Business and Organization Ethics Network,"
1990-2433 (electronic)	Eleutheria	"Universidad Francisco Marroquin,"
1837-5871 (electronic)	Emergent Australasian philosophers	Dean Goorden and Mathew Paul
1472-5819 (electronic)	Ends and means	University
